,TestStatistic,1840pad,1840pbe,1840pcf,10310_4134pa,ski2008pa,23182pa,7207_339pa,SCRAPIE,9914_1261pa,2867pbd,2867pac,SCA,19677_1261pa,19677_1261pb,HD,14499pab,AllIndStudies,Meta,TestStatistic
,,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,all scrp,SCA,SCA,SCA,all SCA,Huntington,Huntington,all HD,Alzheim,,,
NM_001111274,-0.357888583867941,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.357888583867941
NM_001112668,-0.091321121798957,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.091321121798957
NM_001112698,-0.722292870654313,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.722292870654313
NM_001112703,-0.892765469291596,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.892765469291596
NM_001112739,-0.928772537862046,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.928772537862046
NM_001113474,-0.333478864257495,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.333478864257495
NM_001113529,-1.03614863331912,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.03614863331912
NM_001113532,-1.06688733891712,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.06688733891712
NM_001114312,0.609983184602786,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.609983184602786
NM_001114339,0.420572832367657,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.420572832367657
NM_001122736,0.678767725546967,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.678767725546967
NM_001122737,0.618550850272976,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.618550850272976
NM_001122780,0.812111104178523,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.812111104178523
NM_001122829,1.80427782305696,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.80427782305696
